ESPN_Rank,Player,ESPN_ID,PTS_Rank,REB_Rank,AST_Rank,STL_Rank,BLK_Rank,ThreePM_Rank,FGPct_Rank,FTPct_Rank,TOV_Rank
1,Nikola Jokic,3112335,6,1,1,8,15,17,5,25,3
2,Shai Gilgeous-Alexander,4278073,2,39,12,9,16,26,7,7,33
3,Luka Doncic,3945274,1,17,4,10,28,2,36,36,1
4,Giannis Antetokounmpo,3032977,8,9,19,36,21,43,2,48,8
5,Victor Wembanyama,5104157,20,5,38,27,1,27,15,27,21
6,Anthony Edwards,4594268,3,33,35,11,17,4,21,33,16
7,Stephen Curry,3975,10,46,27,20,33,1,39,1,17
8,LeBron James,1966,23,29,9,21,25,31,18,41,13
9,Kevin Durant,3202,14,31,28,41,12,12,11,10,11
10,Jalen Brunson,3934672,11,47,15,44,48,8,38,19,28
11,Jalen Williams,4593803,40,36,21,14,38,41,31,21,37
12,Cade Cunningham,4432166,15,26,2,5,13,18,42,28,2
13,Evan Mobley,4432158,39,13,34,37,3,38,10,49,35
14,Anthony Davis,6583,26,6,39,22,5,44,14,43,36
15,Donovan Mitchell,3908809,7,37,17,4,39,3,26,18,12
16,Devin Booker,3136193,17,44,16,38,40,28,43,14,9
17,Paolo Banchero,4432573,22,15,24,45,22,36,44,37,15
18,Jimmy Butler,6430,29,30,26,12,45,42,9,12,43
19,Jaylen Brown,3917376,5,20,25,28,34,14,28,35,5
20,Kawhi Leonard,6450,9,24,36,1,29,11,22,3,30
21,Bam Adebayo,4066261,36,10,40,29,23,29,46,40,40
22,Pascal Siakam,3149673,19,23,32,23,35,21,27,47,31
23,James Harden,3992,18,34,5,17,36,6,47,8,4
24,Chet Holmgren,4433255,42,12,49,47,2,37,6,32,44
25,Alperen Sengun,4871144,28,11,13,15,10,45,19,46,10
26,Derrick White,3078576,43,38,18,18,7,9,50,6,41
27,Karl-Anthony Towns,3136195,30,2,41,39,26,30,33,17,22
28,Tyrese Maxey,4431678,4,42,11,2,18,5,40,9,26
29,Trae Young,4277905,33,50,3,30,49,22,48,13,23
30,Scottie Barnes,4433134,34,16,20,13,6,40,16,24,19
31,Jaren Jackson Jr.,4277961,31,28,47,24,8,23,35,29,32
32,Franz Wagner,4566434,25,27,37,25,41,32,32,23,42
33,Ja Morant,4279888,32,48,6,31,42,39,49,4,6
34,Domantas Sabonis,3155942,46,4,29,40,46,46,8,44,20
35,De'Aaron Fox,4066259,35,45,14,19,43,20,29,39,27
36,Ivica Zubac,4017837,49,7,45,50,19,48,4,45,38
37,Amen Thompson,4684740,41,18,23,6,27,47,13,38,24
38,Darius Garland,4396907,37,49,10,42,50,13,45,15,18
39,Desmond Bane,4066320,27,41,30,32,30,15,24,2,34
40,Aaron Gordon,3064290,38,25,43,46,47,24,12,31,48
41,OG Anunoby,3934719,45,32,44,3,24,19,37,30,39
42,Julius Randle,3064514,24,21,22,26,44,33,25,26,25
43,Lauri Markkanen,4066336,12,22,46,33,31,10,34,5,45
44,Jalen Johnson,4701230,21,8,7,16,32,34,23,34,7
45,Jarrett Allen,4066328,48,14,48,34,14,49,3,42,46
46,Jamal Murray,3936299,16,40,8,35,37,7,30,11,29
47,Joel Embiid,3059318,13,19,33,48,11,35,20,16,14
48,Mikal Bridges,3147657,47,43,31,7,20,16,17,22,49
49,Rudy Gobert,3032976,50,3,50,43,4,50,1,50,47
50,Kristaps Porzingis,3102531,44,35,42,49,9,25,41,20,50
